date,net_value
2024-09-24,100000.0
2024-09-25,99975.163255
2024-09-26,109671.81325499999
2024-09-27,104990.433255
2024-09-30,115204.353255
2024-10-08,126392.26325499998
2024-10-09,138612.98325499997
2024-10-10,130306.8012925
2024-10-11,130274.26909249999
2024-10-14,136689.06909249997
2024-10-15,150125.38909249997
2024-10-16,164786.20909249998
2024-10-17,168755.1690925
2024-10-18,185414.68909249996
2024-10-21,203737.94909249997
2024-10-22,223895.58909249998
2024-10-23,246023.48909249995
2024-10-24,270315.98909249995
2024-10-25,297024.30909249996
2024-10-28,326510.2690925
2024-10-29,358882.8890925
2024-10-30,394448.68909249996
2024-10-31,433539.4690925
2024-11-01,390185.3995825
2024-11-04,390185.3995825
2024-11-05,390185.3995825
2024-11-06,390088.1009025
2024-11-07,351259.2892425
2024-11-08,351259.2892425
2024-11-11,351259.2892425
2024-11-12,351171.600995
2024-11-13,335610.95099499996
2024-11-14,335469.27099499997
2024-11-15,313280.4884699999
2024-11-18,313280.4884699999
2024-11-19,313202.48549249995
2024-11-20,344173.91549249995
2024-11-21,358950.3554924999
2024-11-22,323190.5342624999
2024-11-25,323190.5342624999
2024-11-26,323190.5342624999
2024-11-27,323190.5342624999
2024-11-28,323190.5342624999
2024-11-29,323190.5342624999
2024-12-02,323109.9655924999
2024-12-03,320838.6055924999
2024-12-04,308686.4655924999
2024-12-05,308335.20559249993
2024-12-06,303761.5455924999
2024-12-09,294967.3055924999
2024-12-10,294454.06559249986
2024-12-11,302705.9455924999
2024-12-12,300947.82559249987
2024-12-13,289882.2255924999
2024-12-16,318536.30559249985
2024-12-17,297558.31628749985
2024-12-18,297484.3525624999
2024-12-19,295251.9025624999
2024-12-20,278458.3250749999
2024-12-23,278458.3250749999
2024-12-24,278458.3250749999
2024-12-25,278458.3250749999
2024-12-26,278458.3250749999
2024-12-27,278458.3250749999
2024-12-30,278458.3250749999
2024-12-31,278458.3250749999
2025-01-02,278458.3250749999
2025-01-03,278458.3250749999
2025-01-06,278458.3250749999
2025-01-07,278389.0176749999
2025-01-08,282130.01767499995
2025-01-09,285453.9176749999
2025-01-10,268214.7258624999
2025-01-13,268214.7258624999
2025-01-14,268147.9442524999
2025-01-15,261707.3842524999
2025-01-16,259814.0242524999
2025-01-17,258126.4642524999
2025-01-20,257918.70425249988
2025-01-21,253751.7442524999
2025-01-22,247138.7042524999
2025-01-23,258126.4642524999
2025-01-24,253579.2642524999
2025-01-27,238246.49197249988
2025-02-05,238246.49197249988
2025-02-06,238187.01958249987
2025-02-07,248724.41958249986
2025-02-10,268513.2995824999
2025-02-11,258173.29958249987
2025-02-12,271056.9395824999
2025-02-13,278159.57958249986
2025-02-14,262336.3429124999
2025-02-17,262336.3429124999
2025-02-18,262336.3429124999
2025-02-19,262336.3429124999
2025-02-20,262336.3429124999
2025-02-21,262336.3429124999
2025-02-24,262271.1650724999
2025-02-25,257537.34507249994
2025-02-26,253475.10507249992
2025-02-27,254370.54507249995
2025-02-28,236956.6449324999
2025-03-03,236956.6449324999
2025-03-04,236956.6449324999
2025-03-05,236956.6449324999
2025-03-06,236897.5444824999
2025-03-07,230704.9244824999
2025-03-10,228827.0244824999
2025-03-11,227607.7244824999
2025-03-12,227107.54448249988
2025-03-13,221069.7844824999
2025-03-14,224355.66448249988
2025-03-17,227264.1844824999
2025-03-18,226231.7844824999
2025-03-19,222791.04448249988
2025-03-20,220914.92448249992
2025-03-21,215065.8444824999
2025-03-24,209216.7644824999
2025-03-25,209903.8444824999
2025-03-26,207995.6844824999
2025-03-27,208184.3644824999
2025-03-28,204743.6244824999
2025-03-31,200959.3444824999
2025-04-01,201803.0644824999
2025-04-02,202678.82448249988
2025-04-03,201803.0644824999
2025-04-07,181898.2305024999
2025-04-08,181898.2305024999
2025-04-09,181852.85702499992
2025-04-10,186804.8370249999
2025-04-11,189119.7870249999
2025-04-14,193718.57702499992
2025-04-15,192303.9870249999
2025-04-16,197964.17702499992
2025-04-17,192657.17702499992
2025-04-18,211566.5670249999
2025-04-21,232435.88702499992
2025-04-22,235459.04702499992
2025-04-23,225007.91702499992
2025-04-24,215102.1270249999
2025-04-25,208929.5370249999
2025-04-28,201499.73702499992
2025-04-29,199892.9970249999
2025-04-30,200085.1470249999
2025-05-06,210505.16702499992
2025-05-07,210344.12702499994
2025-05-08,231021.29702499992
2025-05-09,229959.89702499993
2025-05-12,230666.27702499993
2025-05-13,224652.89702499993
2025-05-14,224138.66702499992
2025-05-15,219700.91702499994
2025-05-16,222015.8670249999
2025-05-19,220248.08702499993
2025-05-20,223432.2870249999
2025-05-21,217579.9470249999
2025-05-22,217063.8870249999
2025-05-23,208929.5370249999
2025-05-26,211405.52702499993
2025-05-27,208221.3270249999
2025-05-28,204491.7870249999
2025-05-29,208574.51702499992
2025-05-30,202722.1770249999
2025-06-03,202916.1570249999
2025-06-04,204491.7870249999
2025-06-05,206967.77702499993
2025-06-06,205037.1270249999
2025-06-09,206806.73702499992
2025-06-10,202916.1570249999
2025-06-11,202368.98702499992
2025-06-12,204683.9370249999
2025-06-13,224846.8770249999
2025-06-16,226969.67702499992
2025-06-17,235459.04702499992
2025-06-18,226969.67702499992
2025-06-19,216163.52702499993
2025-06-20,210858.35702499992
2025-06-23,214587.89702499993
2025-06-24,216357.5070249999
2025-06-25,220248.08702499993
2025-06-26,217224.92702499992
2025-06-27,216357.5070249999
2025-06-30,221309.48702499992
2025-07-01,218480.3070249999
2025-07-02,214748.9370249999
2025-07-03,215102.1270249999
2025-07-04,211211.54702499992
2025-07-07,212111.9070249999
2025-07-08,214395.7470249999
2025-07-09,212272.9470249999
2025-07-10,212466.92702499992
2025-07-11,212981.15702499993
2025-07-14,211211.54702499992
2025-07-15,209088.74702499993
2025-07-16,212820.1170249999
2025-07-17,216163.52702499993
2025-07-18,214748.9370249999
2025-07-21,216710.6970249999
2025-07-22,214587.89702499993
2025-07-23,211919.7570249999
2025-07-24,214942.91702499992
2025-07-25,215102.1270249999
2025-07-28,217224.92702499992
2025-07-29,216163.52702499993
2025-07-30,213173.30702499993
2025-07-31,210697.3170249999
2025-08-01,210858.35702499992
2025-08-04,211405.52702499993
2025-08-05,213687.5370249999
2025-08-06,214942.91702499992
2025-08-07,214748.9370249999
2025-08-08,214748.9370249999
2025-08-11,216357.5070249999
2025-08-12,215296.10702499992
2025-08-13,221823.71702499993
2025-08-14,217579.9470249999
2025-08-15,220055.9370249999
2025-08-18,225908.27702499993
2025-08-19,226422.5070249999
2025-08-20,248706.41702499992
2025-08-21,240572.0670249999
2025-08-22,243593.3970249999
2025-08-25,253852.3770249999
2025-08-26,247645.01702499992
2025-08-27,235973.2770249999
2025-08-28,239349.6270249999
2025-08-29,235973.2770249999
2025-09-01,235265.0670249999
2025-09-02,226969.67702499992
2025-09-03,218480.3070249999
2025-09-04,215810.33702499993
2025-09-05,219539.8770249999
2025-09-08,221115.5070249999
2025-09-09,217063.8870249999
2025-09-10,218286.32702499992
2025-09-11,223593.32702499992
2025-09-12,220601.2770249999
2025-09-15,218639.5170249999
2025-09-16,221470.5270249999
2025-09-17,220601.2770249999
2025-09-18,217579.9470249999
2025-09-19,215649.29702499992
2025-09-22,215296.10702499992
2025-09-23,208382.36702499993
2025-09-24,211919.7570249999
2025-09-25,209635.91702499992
2025-09-26,205392.14702499993
2025-09-29,205553.1870249999
2025-09-30,207513.11702499993
2025-10-09,209443.76702499992
2025-10-10,206967.77702499993
2025-10-13,204844.9770249999
2025-10-14,202015.79702499992
2025-10-15,203783.5770249999
2025-10-16,200954.3970249999
2025-10-17,196708.79702499992
2025-10-20,197417.0070249999
2025-10-21,201499.73702499992
2025-10-22,201660.7770249999
2025-10-23,209282.72702499994
2025-10-24,204844.9770249999
2025-10-27,205553.1870249999
2025-10-28,204136.76702499992
2025-10-29,204491.7870249999
2025-10-30,206612.7570249999
2025-10-31,206967.77702499993
2025-11-03,208929.5370249999
2025-11-04,205906.37702499994
2025-11-05,208029.17702499992
2025-11-06,205392.14702499993
2025-11-07,204844.9770249999
2025-11-10,205745.33702499993
