date,net_value
2024-10-18,100000.0
2024-10-21,100000.0
2024-10-22,100000.0
2024-10-23,100000.0
2024-10-24,100000.0
2024-10-25,100000.0
2024-10-28,100000.0
2024-10-29,100000.0
2024-10-30,100000.0
2024-10-31,100000.0
2024-11-01,99975.45262
2024-11-04,90152.4979525
2024-11-05,90152.4979525
2024-11-06,90152.4979525
2024-11-07,90152.4979525
2024-11-08,90152.4979525
2024-11-11,90152.4979525
2024-11-12,90130.29565249999
2024-11-13,86127.0434525
2024-11-14,86127.0434525
2024-11-15,86127.0434525
2024-11-18,86127.0434525
2024-11-19,86105.95313000001
2024-11-20,94479.64313000001
2024-11-21,98474.80313000003
2024-11-22,88806.09804500002
2024-11-25,88806.09804500002
2024-11-26,88806.09804500002
2024-11-27,88806.09804500002
2024-11-28,88806.09804500002
2024-11-29,88806.09804500002
2024-12-02,88806.09804500002
2024-12-03,88806.09804500002
2024-12-04,88806.09804500002
2024-12-05,88806.09804500002
2024-12-06,88806.09804500002
2024-12-09,88806.09804500002
2024-12-10,88806.09804500002
2024-12-11,88806.09804500002
2024-12-12,88806.09804500002
2024-12-13,88806.09804500002
2024-12-16,88784.30554000002
2024-12-17,83028.41911000002
2024-12-18,83007.86164750002
2024-12-19,82387.31164750003
2024-12-20,77720.21168500002
2024-12-23,77720.21168500002
2024-12-24,77720.21168500002
2024-12-25,77720.21168500002
2024-12-26,77720.21168500002
2024-12-27,77720.21168500002
2024-12-30,77720.21168500002
2024-12-31,77720.21168500002
2025-01-02,77720.21168500002
2025-01-03,77720.21168500002
2025-01-06,77720.21168500002
2025-01-07,77720.21168500002
2025-01-08,77720.21168500002
2025-01-09,77720.21168500002
2025-01-10,77720.21168500002
2025-01-13,77720.21168500002
2025-01-14,77701.11376000002
2025-01-15,75859.71376000003
2025-01-16,75317.96376000003
2025-01-17,74779.91952250001
2025-01-20,74779.91952250001
2025-01-21,74779.91952250001
2025-01-22,74779.91952250001
2025-01-23,74779.91952250001
2025-01-24,74779.91952250001
2025-01-27,74779.91952250001
2025-02-05,74779.91952250001
2025-02-06,74779.91952250001
2025-02-07,74761.40267250001
2025-02-10,80661.25267250002
2025-02-11,77578.50267250002
2025-02-12,81419.70267250002
2025-02-13,83537.20267250002
2025-02-14,78820.06414750002
2025-02-17,78820.06414750002
2025-02-18,78820.06414750002
2025-02-19,78820.06414750002
2025-02-20,78820.06414750002
2025-02-21,78820.06414750002
2025-02-24,78800.72100250001
2025-02-25,77396.22100250001
2025-02-26,76134.39925500001
2025-02-27,76134.39925500001
2025-02-28,76134.39925500001
2025-03-03,76134.39925500001
2025-03-04,76134.39925500001
2025-03-05,76134.39925500001
2025-03-06,76134.39925500001
2025-03-07,76134.39925500001
2025-03-10,76134.39925500001
2025-03-11,76134.39925500001
2025-03-12,76134.39925500001
2025-03-13,76134.39925500001
2025-03-14,76134.39925500001
2025-03-17,76134.39925500001
2025-03-18,76134.39925500001
2025-03-19,76134.39925500001
2025-03-20,76134.39925500001
2025-03-21,76134.39925500001
2025-03-24,76134.39925500001
2025-03-25,76134.39925500001
2025-03-26,76134.39925500001
2025-03-27,76134.39925500001
2025-03-28,76134.39925500001
2025-03-31,76134.39925500001
2025-04-01,76134.39925500001
2025-04-02,76134.39925500001
2025-04-03,76134.39925500001
2025-04-07,76134.39925500001
2025-04-08,76134.39925500001
2025-04-09,76134.39925500001
2025-04-10,76134.39925500001
2025-04-11,76134.39925500001
2025-04-14,76134.39925500001
2025-04-15,76134.39925500001
2025-04-16,76115.41649250001
2025-04-17,74021.0474175
2025-04-18,74002.8163175
2025-04-21,81208.4563175
2025-04-22,82251.91631749998
2025-04-23,78643.51631749999
2025-04-24,75168.60696749999
2025-04-25,75168.60696749999
2025-04-28,75168.60696749999
2025-04-29,75168.60696749999
2025-04-30,75168.60696749999
2025-05-06,75149.88232749999
2025-05-07,75092.28232749998
2025-05-08,82461.88232749999
2025-05-09,82083.6423275
2025-05-12,82335.80232749999
2025-05-13,80132.48648749999
2025-05-14,80132.48648749999
2025-05-15,80132.48648749999
2025-05-16,80132.48648749999
2025-05-19,80132.48648749999
2025-05-20,80132.48648749999
2025-05-21,80132.48648749999
2025-05-22,80132.48648749999
2025-05-23,80132.48648749999
2025-05-26,80132.48648749999
2025-05-27,80132.48648749999
2025-05-28,80132.48648749999
2025-05-29,80132.48648749999
2025-05-30,80132.48648749999
2025-06-03,80132.48648749999
2025-06-04,80132.48648749999
2025-06-05,80132.48648749999
2025-06-06,80132.48648749999
2025-06-09,80132.48648749999
2025-06-10,80132.48648749999
2025-06-11,80132.48648749999
2025-06-12,80132.48648749999
2025-06-13,80112.4839275
2025-06-16,80868.9639275
2025-06-17,83894.24392749999
2025-06-18,80868.9639275
2025-06-19,76960.3970475
2025-06-20,76960.3970475
2025-06-23,76960.3970475
2025-06-24,76960.3970475
2025-06-25,76960.3970475
2025-06-26,76960.3970475
2025-06-27,76960.3970475
2025-06-30,76960.3970475
2025-07-01,76960.3970475
2025-07-02,76960.3970475
2025-07-03,76960.3970475
2025-07-04,76960.3970475
2025-07-07,76960.3970475
2025-07-08,76960.3970475
2025-07-09,76960.3970475
2025-07-10,76960.3970475
2025-07-11,76960.3970475
2025-07-14,76960.3970475
2025-07-15,76960.3970475
2025-07-16,76960.3970475
2025-07-17,76960.3970475
2025-07-18,76960.3970475
2025-07-21,76960.3970475
2025-07-22,76960.3970475
2025-07-23,76960.3970475
2025-07-24,76960.3970475
2025-07-25,76960.3970475
2025-07-28,76960.3970475
2025-07-29,76960.3970475
2025-07-30,76960.3970475
2025-07-31,76960.3970475
2025-08-01,76960.3970475
2025-08-04,76960.3970475
2025-08-05,76960.3970475
2025-08-06,76960.3970475
2025-08-07,76960.3970475
2025-08-08,76960.3970475
2025-08-11,76960.3970475
2025-08-12,76960.3970475
2025-08-13,76941.28058749999
2025-08-14,75475.6005875
2025-08-15,76330.5805875
2025-08-18,78351.7805875
2025-08-19,78529.1005875
2025-08-20,86223.3005875
2025-08-21,83414.70058749999
2025-08-22,84458.1605875
2025-08-25,88000.22058749999
2025-08-26,85856.8805875
2025-08-27,81765.8670075
2025-08-28,81765.8670075
2025-08-29,81765.8670075
2025-09-01,81765.8670075
2025-09-02,81765.8670075
2025-09-03,81765.8670075
2025-09-04,81765.8670075
2025-09-05,81765.8670075
2025-09-08,81765.8670075
2025-09-09,81765.8670075
2025-09-10,81765.8670075
2025-09-11,81765.8670075
2025-09-12,81765.8670075
2025-09-15,81765.8670075
2025-09-16,81765.8670075
2025-09-17,81765.8670075
2025-09-18,81765.8670075
2025-09-19,81765.8670075
2025-09-22,81765.8670075
2025-09-23,81765.8670075
2025-09-24,81765.8670075
2025-09-25,81765.8670075
2025-09-26,81765.8670075
2025-09-29,81765.8670075
2025-09-30,81765.8670075
2025-10-09,81765.8670075
2025-10-10,81765.8670075
2025-10-13,81765.8670075
2025-10-14,81765.8670075
2025-10-15,81765.8670075
2025-10-16,81765.8670075
2025-10-17,81765.8670075
2025-10-20,81765.8670075
2025-10-21,81765.8670075
2025-10-22,81765.8670075
2025-10-23,81745.5061075
2025-10-24,80015.8061075
2025-10-27,80291.60610749999
2025-10-28,79740.0061075
2025-10-29,79877.90610749999
2025-10-30,80705.30610749999
2025-10-31,80843.2061075
2025-11-03,81607.60610749999
2025-11-04,80369.41040749998
2025-11-05,80369.41040749998
2025-11-06,80369.41040749998
2025-11-07,80369.41040749998
2025-11-10,80369.41040749998
2025-11-11,80369.41040749998
2025-11-12,80369.41040749998
2025-11-13,80369.41040749998
2025-11-14,80369.41040749998
2025-11-17,80369.41040749998
2025-11-18,80369.41040749998
2025-11-19,80369.41040749998
2025-11-20,80369.41040749998
2025-11-21,80369.41040749998
2025-11-24,80369.41040749998
2025-11-25,80369.41040749998
2025-11-26,80369.41040749998
2025-11-27,80369.41040749998
2025-11-28,80369.41040749998
2025-12-01,80369.41040749998
2025-12-02,80369.41040749998
2025-12-03,80369.41040749998
2025-12-04,80369.41040749998
2025-12-05,80369.41040749998
2025-12-08,80369.41040749998
2025-12-09,80369.41040749998
2025-12-10,80369.41040749998
2025-12-11,80369.41040749998
2025-12-12,80369.41040749998
2025-12-15,80369.41040749998
2025-12-16,80369.41040749998
2025-12-17,80369.41040749998
2025-12-18,80369.41040749998
2025-12-19,80369.41040749998
2025-12-22,80369.41040749998
2025-12-23,80369.41040749998
2025-12-24,80369.41040749998
2025-12-25,80349.49314999998
2025-12-26,78105.66314999998
2025-12-29,77973.67314999999
2025-12-30,76464.90215999997
2025-12-31,76464.90215999997
2026-01-05,76464.90215999997
2026-01-06,76464.90215999997
2026-01-07,76464.90215999997
2026-01-08,76464.90215999997
2026-01-09,76464.90215999997
2026-01-12,76446.06398749996
2026-01-13,73693.54299249996
