date,net_value
2024-09-06,100000.0
2024-09-09,100000.0
2024-09-10,100000.0
2024-09-11,100000.0
2024-09-12,100000.0
2024-09-13,100000.0
2024-09-18,100000.0
2024-09-19,100000.0
2024-09-20,100000.0
2024-09-23,100000.0
2024-09-24,100000.0
2024-09-25,99975.0586
2024-09-26,109713.1386
2024-09-27,105012.17860000001
2024-09-30,115269.45860000001
2024-10-08,126503.53860000001
2024-10-09,138776.0186
2024-10-10,130533.93860000001
2024-10-11,143295.6986
2024-10-14,150346.2586
2024-10-15,165123.21860000002
2024-10-16,181241.2986
2024-10-17,185606.0986
2024-10-18,203924.1786
2024-10-21,224072.65860000002
2024-10-22,246236.33860000002
2024-10-23,270566.5786
2024-10-24,297278.0986
2024-10-25,326647.2186
2024-10-28,359068.17860000004
2024-10-29,394664.1786
2024-10-30,433769.6186
2024-10-31,476754.0986
2024-11-01,429404.8186
2024-11-04,386466.58832000004
2024-11-05,386466.58832000004
2024-11-06,386466.58832000004
2024-11-07,386466.58832000004
2024-11-08,386466.58832000004
2024-11-11,386466.58832000004
2024-11-12,386370.353445
2024-11-13,369017.85627
2024-11-14,369017.85627
2024-11-15,369017.85627
2024-11-18,369017.85627
2024-11-19,368926.1925825
2024-11-20,405320.9425825
2024-11-21,422684.44258249993
2024-11-22,380662.9359575
2024-11-25,380662.9359575
2024-11-26,380662.9359575
2024-11-27,380662.9359575
2024-11-28,380662.9359575
2024-11-29,380662.9359575
2024-12-02,380662.9359575
2024-12-03,380662.9359575
2024-12-04,380662.9359575
2024-12-05,380662.9359575
2024-12-06,380662.9359575
2024-12-09,380662.9359575
2024-12-10,380662.9359575
2024-12-11,380662.9359575
2024-12-12,380662.9359575
2024-12-13,380662.9359575
2024-12-16,380568.16490750003
2024-12-17,355534.8274575
2024-12-18,355446.3304575
2024-12-19,352774.3304575
2024-12-20,332683.7249575
2024-12-23,332683.7249575
2024-12-24,332683.7249575
2024-12-25,332683.7249575
2024-12-26,332683.7249575
2024-12-27,332683.7249575
2024-12-30,332683.7249575
2024-12-31,332683.7249575
2025-01-02,332683.7249575
2025-01-03,332683.7249575
2025-01-06,332683.7249575
2025-01-07,332683.7249575
2025-01-08,332683.7249575
2025-01-09,332683.7249575
2025-01-10,332683.7249575
2025-01-13,332683.7249575
2025-01-14,332600.6514475
2025-01-15,324587.97144749993
2025-01-16,322231.59144749993
2025-01-17,319892.2223374999
2025-01-20,319892.2223374999
2025-01-21,319892.2223374999
2025-01-22,319892.2223374999
2025-01-23,319892.2223374999
2025-01-24,319892.2223374999
2025-01-27,319892.2223374999
2025-02-05,319892.2223374999
2025-02-06,319892.2223374999
2025-02-07,319812.6551574999
2025-02-10,345164.2551574999
2025-02-11,331917.4951574999
2025-02-12,348424.09515749995
2025-02-13,357522.8551574999
2025-02-14,337253.12428749993
2025-02-17,337253.12428749993
2025-02-18,337253.12428749993
2025-02-19,337253.12428749993
2025-02-20,337253.12428749993
2025-02-21,337253.12428749993
2025-02-24,337168.9906924999
2025-02-25,331059.5306924999
2025-02-26,325572.50435749994
2025-02-27,325572.50435749994
2025-02-28,325572.50435749994
2025-03-03,325572.50435749994
2025-03-04,325572.50435749994
2025-03-05,325572.50435749994
2025-03-06,325572.50435749994
2025-03-07,325572.50435749994
2025-03-10,325572.50435749994
2025-03-11,325572.50435749994
2025-03-12,325572.50435749994
2025-03-13,325572.50435749994
2025-03-14,325572.50435749994
2025-03-17,325572.50435749994
2025-03-18,325572.50435749994
2025-03-19,325572.50435749994
2025-03-20,325572.50435749994
2025-03-21,325572.50435749994
2025-03-24,325572.50435749994
2025-03-25,325572.50435749994
2025-03-26,325572.50435749994
2025-03-27,325572.50435749994
2025-03-28,325572.50435749994
2025-03-31,325572.50435749994
2025-04-01,325572.50435749994
2025-04-02,325572.50435749994
2025-04-03,325572.50435749994
2025-04-07,325572.50435749994
2025-04-08,325572.50435749994
2025-04-09,325572.50435749994
2025-04-10,325572.50435749994
2025-04-11,325572.50435749994
2025-04-14,325572.50435749994
2025-04-15,325572.50435749994
2025-04-16,325491.23100749997
2025-04-17,316524.8577825
2025-04-18,316445.96472
2025-04-21,347630.62471999996
2025-04-22,352145.72472
2025-04-23,336531.23471999995
2025-04-24,321493.249585
2025-04-25,321493.249585
2025-04-28,321493.249585
2025-04-29,321493.249585
2025-04-30,321493.249585
2025-05-06,321413.0523375
2025-05-07,321166.84233749995
2025-05-08,352732.66233749996
2025-05-09,351111.0723375
2025-05-12,352192.1323375
2025-05-13,342754.82167499996
2025-05-14,342754.82167499996
2025-05-15,342754.82167499996
2025-05-16,342754.82167499996
2025-05-19,342754.82167499996
2025-05-20,342754.82167499996
2025-05-21,342754.82167499996
2025-05-22,342754.82167499996
2025-05-23,342754.82167499996
2025-05-26,342754.82167499996
2025-05-27,342754.82167499996
2025-05-28,342754.82167499996
2025-05-29,342754.82167499996
2025-05-30,342754.82167499996
2025-06-03,342754.82167499996
2025-06-04,342754.82167499996
2025-06-05,342754.82167499996
2025-06-06,342754.82167499996
2025-06-09,342754.82167499996
2025-06-10,342754.82167499996
2025-06-11,342754.82167499996
2025-06-12,342754.82167499996
2025-06-13,342669.45392999996
2025-06-16,345898.35393
2025-06-17,358811.13393
2025-06-18,345898.35393
2025-06-19,329217.19524
2025-06-20,329217.19524
2025-06-23,329217.19524
2025-06-24,329217.19524
2025-06-25,329217.19524
2025-06-26,329217.19524
2025-06-27,329217.19524
2025-06-30,329217.19524
2025-07-01,329217.19524
2025-07-02,329217.19524
2025-07-03,329217.19524
2025-07-04,329217.19524
2025-07-07,329217.19524
2025-07-08,329217.19524
2025-07-09,329217.19524
2025-07-10,329217.19524
