date,net_value
2024-10-10,100000.0
2024-10-11,100000.0
2024-10-14,99975.31066
2024-10-15,97503.73066
2024-10-16,116653.48066
2024-10-17,116544.94066000001
2024-10-18,124631.17065999999
2024-10-21,122453.89066
2024-10-22,116272.82473749999
2024-10-23,116272.82473749999
2024-10-24,116272.82473749999
2024-10-25,116243.8303875
2024-10-28,139335.4303875
2024-10-29,143987.63038750002
2024-10-30,155742.3103875
2024-10-31,163624.3103875
2024-11-01,131604.0532375
2024-11-04,131571.3167025
2024-11-05,146030.17670249997
2024-11-06,140210.85670249996
2024-11-07,148718.5767025
2024-11-08,141787.49670249998
2024-11-11,136201.91670249996
2024-11-12,137701.59670249996
2024-11-13,131106.17670249997
2024-11-14,126580.0967025
2024-11-15,128932.57670249998
2024-11-18,114080.20156749999
2024-11-19,114052.24558749999
2024-11-20,112358.08558749998
2024-11-21,126802.24558749999
2024-11-22,115734.6519475
2024-11-25,115734.6519475
2024-11-26,115734.6519475
2024-11-27,115706.91095749999
2024-11-28,117766.1009575
2024-11-29,125796.0909575
2024-12-02,122295.9509575
2024-12-03,124834.69095749999
2024-12-04,129892.39095749999
2024-12-05,135497.9509575
2024-12-06,128609.171565
2024-12-09,128609.171565
2024-12-10,128609.171565
2024-12-11,128609.171565
2024-12-12,128609.171565
2024-12-13,128609.171565
2024-12-16,128609.171565
2024-12-17,128577.74751
2024-12-18,125551.08751
2024-12-19,121671.62750999999
2024-12-20,123947.14751
2024-12-23,115198.34667000001
2024-12-24,115198.34667000001
2024-12-25,115198.34667000001
2024-12-26,115198.34667000001
2024-12-27,115198.34667000001
2024-12-30,115198.34667000001
2024-12-31,115198.34667000001
2025-01-02,115198.34667000001
2025-01-03,115198.34667000001
2025-01-06,115198.34667000001
2025-01-07,115198.34667000001
2025-01-08,115198.34667000001
2025-01-09,115198.34667000001
2025-01-10,115198.34667000001
2025-01-13,115198.34667000001
2025-01-14,115170.20639250001
2025-01-15,119521.79639250001
2025-01-16,123979.49639249999
2025-01-17,121213.61639249999
2025-01-20,122745.05639249999
2025-01-21,126585.2663925
2025-01-22,118334.95685249999
2025-01-23,118334.95685249999
2025-01-24,118334.95685249999
2025-01-27,118334.95685249999
2025-02-05,118334.95685249999
2025-02-06,118306.28254249999
2025-02-07,124768.9625425
2025-02-10,123903.7625425
2025-02-11,121900.6425425
2025-02-12,126022.2425425
2025-02-13,121927.24254250001
2025-02-14,123293.36254249999
2025-02-17,121622.0425425
2025-02-18,112597.5997725
2025-02-19,112570.4130675
2025-02-20,110530.02306749999
2025-02-21,113644.7430675
2025-02-24,113564.55306749999
2025-02-25,110421.7530675
2025-02-26,112704.60306750001
2025-02-27,108998.58306749999
2025-02-28,107038.38306749999
2025-03-03,101350.80276
2025-03-04,101350.80276
2025-03-05,101350.80276
2025-03-06,101326.1518225
2025-03-07,97172.6518225
2025-03-10,95804.90182249999
2025-03-11,95233.40182249999
2025-03-12,98540.4018225
2025-03-13,95630.1518225
2025-03-14,110104.6518225
2025-03-17,102991.89326
2025-03-18,102991.89326
2025-03-19,102991.89326
2025-03-20,102991.89326
2025-03-21,102991.89326
2025-03-24,102991.89326
2025-03-25,102991.89326
2025-03-26,102991.89326
2025-03-27,102991.89326
2025-03-28,102991.89326
2025-03-31,102991.89326
2025-04-01,102991.89326
2025-04-02,102991.89326
2025-04-03,102991.89326
2025-04-07,102991.89326
2025-04-08,102966.52706749999
2025-04-09,106905.73706749998
2025-04-10,109762.54706749998
2025-04-11,109172.17706749999
2025-04-14,110352.5870675
2025-04-15,107366.7470675
2025-04-16,105166.63706749998
2025-04-17,103689.22706749999
2025-04-18,104377.60706749998
2025-04-21,107660.11706749997
2025-04-22,105955.66706749999
2025-04-23,107104.72706749999
2025-04-24,103919.89706749999
2025-04-25,105526.33706749999
2025-04-28,103919.89706749999
2025-04-29,103884.91706749999
