date,net_value
2024-08-15,100000.0
2024-08-16,100000.0
2024-08-19,100000.0
2024-08-20,100000.0
2024-08-21,100000.0
2024-08-22,100000.0
2024-08-23,100000.0
2024-08-26,100000.0
2024-08-27,100000.0
2024-08-28,100000.0
2024-08-29,100000.0
2024-08-30,99975.0781225
2024-09-02,97116.76812249998
2024-09-03,99624.07812249998
2024-09-04,98711.47812249999
2024-09-05,101338.12812249997
2024-09-06,100887.67812249999
2024-09-09,100195.03812249997
2024-09-10,101569.78812249997
2024-09-11,101229.31812249999
2024-09-12,103285.00812249999
2024-09-13,101569.78812249997
2024-09-18,100241.69625999998
2024-09-19,100241.69625999998
2024-09-20,100216.94407749998
2024-09-23,107105.18407749999
2024-09-24,128003.99407749998
2024-09-25,153013.55407749998
2024-09-26,183091.28407749996
2024-09-27,219181.64407749998
2024-09-30,262479.38407749997
2024-10-08,314407.6740775
2024-10-09,376382.3940775
