date,net_value
2024-09-06,100000.0
2024-09-09,100000.0
2024-09-10,100000.0
2024-09-11,99975.1453625
2024-09-12,98441.74536249999
2024-09-13,96579.99536249999
2024-09-18,106383.19536249999
2024-09-19,111695.0953625
2024-09-20,110161.6953625
2024-09-23,112133.44536249999
2024-09-24,114707.44536249999
2024-09-25,114871.8953625
2024-09-26,117500.3453625
2024-09-27,125715.1453625
2024-10-14,150688.4453625
2024-10-15,180645.8453625
2024-10-16,216572.39536249998
2024-10-17,259673.14536249998
2024-10-18,311427.0453625
2024-10-21,373531.9453625
2024-10-22,448068.49536249996
2024-10-23,537501.7953625
2024-10-24,576002.3453625
